,Model,Compound,Train Accuracy,Test Accuracy
,Linear Regression,,0.12001314677071695,0.045340319013935315
,Partial Least Squares (n=2),,0.11991389347905636,0.04862776644487177
,Partial Least Squares (n=3),,0.12001314677071695,0.04534031901393565
,Random Forest Regression (max_depth = 2),,0.16950320039064026,0.08447032566693302
,Random Forest Regression (max_depth = 5),,0.8678704546865357,0.6971027350345377
,Random Forest Regression (max_depth = 7),,0.95041045658869,0.7727318025371203
,Random Forest Regression (max_depth = 10),,0.9867558907172492,0.7903321227571191
,Random Forest Regression (max_depth = 15),,0.9981127818795544,0.7863526115670908
,SVR RBF Kernel,,0.11639332452234175,0.031202160899373887
,Gradient Boost Regressor,,0.9715430704257842,0.7732256860475033
